sample_id	source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	SELPLG	ITGB2	0.511778	0.003	0.25176087	0.17538107262232955	0.8055904714769664	0.5989699	0.78852654	0.08378781388359821	0.42607050591803697
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	PKM	CD44	0.5090966	0.003	0.2572014	0.1525144743036775	0.7432750007659433	0.49329266	0.79030365	0.14293831139825827	0.4815792442445862
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HMGB1	CXCR4	0.49666283	0.924	0.24645321	-0.08258600447732554	-0.17266435793635415	0.17670433	0.78674465	1.0	0.4815792442445862
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	MIF	CD74_CXCR4	0.8028934	0.004	0.62244827	0.18452383705318298	0.674739205141534	0.4370274	0.8542906	0.17374241086902917	0.5059587318620755
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DPB1	CD4	0.68952084	0.0	0.27458146	0.3543005041132994	1.7840546497236074	0.9103336	0.7956705	0.008933644462391142	0.5417111412877478
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DQB1	CD4	0.6138361	0.0	0.23804852	0.3722527420006191	1.7006834389534042	0.97119874	0.7838193	0.002144968035420114	0.5417111412877478
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	HMGB1	CXCR4	0.4914	0.955	0.24106911	-0.0880436732916143	-0.674597717377064	0.17284401	0.7848857	1.0	0.5417111412877478
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DOB	CD4	0.31734294	0.0	0.094931535	0.27119417625720943	1.242904464285665	1.0	0.69601756	0.008933644462391142	0.5495089124687634
raw_all__GSM5837209_AB6696.txt.gz	B_cell	B_cell	HLA-A	APLP2	0.8571356	0.971	0.42675802	-0.02661806183799445	0.3552768402141544	0.3870533	0.82919544	1.0	0.5833812488534317
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	SELPLG	SELL	0.77504414	0.02	0.46816656	0.17310196551803364	1.0209625209006865	0.54696906	0.8356537	0.14293831139825827	0.5833812488534317
raw_all__GSM5837209_AB6696.txt.gz	B_cell	B_cell	MIF	CD74_CXCR4	0.63560283	0.344	0.3039753	0.012284226639482629	0.17252287017188417	0.21342425	0.80381334	1.0	0.6066511233556239
raw_all__GSM5837209_AB6696.txt.gz	B_cell	B_cell	HMGB1	CXCR4	0.71683013	0.045	0.4586087	0.11162680006615361	0.674597717377064	0.32881755	0.8342325	0.6318596989004472	0.6645022930208916
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	VIM	CD44	0.55747324	0.996	0.31076118	-0.12238730351464545	-0.2063818387753225	0.18945102	0.8055483	1.0	0.6765841167563171
raw_all__GSM5837209_AB6696.txt.gz	B_cell	B_cell	GNAI2	S1PR4	0.3154049	0.566	0.09827255	-0.002259010699317797	0.17734853405626588	0.25311738	0.6996642	1.0	0.7165283264450376
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	HMGB1	CXCR4	0.71156734	0.048	0.44858977	0.10616913125186485	0.17266435793635415	0.3216341	0.8326995	0.9367605175796255	0.7489521296336189
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	MIF	CD74_CXCR4	0.5827261	0.656	0.33449948	-0.009688967490296185	-0.17252287017188417	0.23485558	0.8112488	1.0	0.7516952610056573
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DMB	CD4	0.47560024	0.0	0.1713222	0.335721435848904	1.5584688255352632	1.0	0.75465584	0.002144968035420114	0.7516952610056573
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	MIF	CD44_CD74	0.43646055	0.608	0.17678303	-0.017058216565450895	0.12936088895288617	0.22947368	0.7575489	1.0	0.7516952610056573
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	GNAI2	S1PR1	0.42735338	0.142	0.18081635	0.0653552601876964	0.36417509727821173	0.3307886	0.7596147	0.5491118170675493	0.8321690709537839
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DPA1	CD4	0.828565	0.0	0.34169796	0.3996524626018365	1.9974365006208772	0.9382711	0.81287354	0.002144968035420114	0.8321690709537839
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	VIM	CD44	0.8744627	0.046	0.35955223	0.05856823473051369	0.2063818387753225	0.21919577	0.8167164	1.0	0.8363606741074285
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	GNAI2	S1PR1	0.31596285	0.86	0.09866329	-0.06554295583981032	-0.36417509727821173	0.18049636	0.700081	1.0	0.8757807750489401
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	MIF	CD74_CXCR4	0.41543546	0.998	0.16335428	-0.18192857790399652	-0.674739205141534	0.114692755	0.7502203	1.0	0.9181906716660659
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	SELPLG	SELL	0.67722905	0.231	0.38776222	0.09802353910355734	0.38449543599818536	0.4530309	0.82230216	0.47477049467376137	0.9263581874016973
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	GNAI2	S1PR4	0.37530196	0.146	0.13189314	0.06398467557505114	0.3765072914920344	0.33971286	0.72964513	0.47477049467376137	1.0
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DQA2	CD4	0.35100925	0.0	0.11118225	0.27245607637418523	1.1990691998624274	0.9368398	0.71247035	0.008933644462391142	1.0
raw_all__GSM5837209_AB6696.txt.gz	B_cell	B_cell	VIM	CD44	0.399669	1.0	0.13358624	-0.3020769255782251	-0.9673199516507447	0.0814389	0.73090136	1.0	1.0
raw_all__GSM5837209_AB6696.txt.gz	B_cell	B_cell	GNAI2	S1PR1	0.36745626	0.53	0.13472484	-0.000888426086672528	0.16501633984244324	0.246468	0.7317352	1.0	1.0
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DMA	CD4	0.3792618	0.0	0.124819726	0.2760877416645312	1.3967395952912474	0.9480439	0.72417414	0.003659220771795412	1.0
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DQA1	CD4	0.36438286	0.0	0.11763768	0.26715752089212796	1.1965592684808848	0.9241207	0.7182164	0.018524805157214275	1.0
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	PKM	CD44	0.35129237	0.726	0.110562615	-0.027175147759902096	-0.017663112109478796	0.21205065	0.71189755	1.0	1.0
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	MIF	CD44_CD74	0.44594693	0.614	0.15561105	-0.024508228215330163	-0.12936088895288617	0.20199133	0.7456427	1.0	1.0
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	SELPLG	ITGB2	0.4105635	0.272	0.16856219	0.07502366409244729	0.5998674854219055	0.4010301	0.7531492	0.5491118170675493	1.0
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	GNAI2	S1PR1	0.37585992	0.47	0.13241757	0.0007007304345586149	-0.16501633984244324	0.24224705	0.7300364	1.0	1.0
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	IL16	CD4	0.34693116	0.002	0.10921375	0.153470766278537	0.6880549591429415	0.6468289	0.71063715	0.11642414799832762	1.0
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	MIF	CD44_CD74	0.6037512	0.002	0.36199743	0.15518139384824944	0.6315772239225359	0.4698917	0.8172231	0.20927598171819	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-B	CD3D	2.2733097	0.0	4.726199	0.36611322138348706	1.6769399902176816	0.51273286	0.9414109	0.0283203125	0.0034824773412294625
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-B	CD3D	2.2003508	0.0	4.4914646	0.3053607142721937	1.5639571835468415	0.48726717	0.9399901	0.0283203125	0.007783162635412325
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-B	CD8B	1.6989241	0.013	1.3511747	0.17852001373574106	1.064763024698752	0.51273286	0.89573944	0.06822537854721508	0.030503708096504774
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	COPA	CD74	2.5464258	0.0	1.1145693	0.4727871061306316	2.171095331587644	0.5155556	0.88640183	0.0283203125	0.04123358322434666
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-B	CD8B	1.6259651	0.094	1.2840664	0.11776750662444765	0.951780218027912	0.48726717	0.8933366	0.3660250000000004	0.05348339786506179
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	B2M	CD1C	2.0875795	0.002	0.94087315	0.20219620628160057	0.8298331894781319	0.5244039	0.8775892	0.027187325561046024	0.08240310403286229
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	GRN	TNFRSF1B	0.21932733	0.242	0.048079737	0.08248765268754162	0.23280236985622654	0.39518663	0.61841404	1.0	0.0882295548340499
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-C	CD8B	1.5626271	0.0	1.2258075	0.2735120535616905	1.226838617828024	0.56372356	0.8911041	0.012753208590845232	0.09900310221993727
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-B	CD8A	1.620271	0.022	0.88901836	0.1653692364070498	0.6111407445520742	0.51273286	0.8745115	0.10862003116824433	0.11698329282486289
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	B2M	CD1C	1.9044058	0.731	0.85330313	0.018952296643379746	0.27363951536312503	0.47559604	0.87224424	1.0	0.15694443421285661
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	PKM	CD44	0.22391215	0.989	0.049942352	-0.1682231595644625	-0.7198780985679564	0.09297895	0.62288845	1.0	0.17471204745687413
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-A	CD8B	1.4599543	0.0	1.1313679	0.24613979722147397	1.1757460491679235	0.5581982	0.88715285	0.020428174210091698	0.1788555005168537
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-B	CD8A	1.5473121	0.265	0.84486383	0.10461672929575641	0.4981579378812342	0.48726717	0.8716894	0.7589894400000001	0.1788555005168537
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-C	CD8A	1.4839741	0.0	0.8065318	0.26036127623299926	0.7732163376813461	0.56372356	0.86907023	0.040306437027856544	0.22636393231519783
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-E	CD8B	1.3827083	0.001	1.0603163	0.2645381887664615	1.4543537191129186	0.57822114	0.8838652	0.018279040000000003	0.22636393231519783
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	HLA-B	LILRB1	1.5959408	0.042	0.7460577	0.1512098229249117	0.5445085687807409	0.51273286	0.86457187	0.20405133745352372	0.2785545292388497
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	SIRPG	CD47	0.23734228	0.109	0.05616754	0.10649775575429725	0.5568918136310089	0.48097456	0.6365824	0.40761840249999953	0.30119827344688876
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	CD47	SIRPG	0.23734228	0.109	0.05616754	0.10649775575429725	0.5568918136310089	0.48097456	0.6365824	0.40761840249999953	0.30119827344688876
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-A	CD8A	1.3813012	0.0	0.74439436	0.23298901989278273	0.7221237690212456	0.5581982	0.8644411	0.05768284517758103	0.30631825237291965
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-DRA	CD4	1.6549876	0.0	0.7364251	0.5625862719234339	2.4872717091815173	0.94631845	0.8638092	0.0009765625	0.3650078794623657
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	HLA-B	LILRB1	1.5229821	0.331	0.70900357	0.0904573158136183	0.4315257621099009	0.48726717	0.8615617	0.9066848399999997	0.3958639481602693
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-C	CD8B	1.2613349	0.704	0.9486758	0.025371209247452245	0.7897046248986401	0.4362764	0.87803215	1.0	0.3958639481602693
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	GNAI2	S1PR1	0.66209435	0.058	0.3482488	0.09140648487909199	0.40882082597855685	0.32485986	0.8134902	1.0	0.4094182790982095
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-E	CD8A	1.3040552	0.001	0.6976453	0.2513874114377702	1.0007314389662407	0.57822114	0.86059576	0.018279040000000003	0.4276808548102018
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-A	CD8B	1.203472	0.562	0.89545304	0.052287261315332026	0.8407971935587406	0.44180173	0.87490654	1.0	0.4276808548102018
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	GNAI2	S1PR1	0.6480936	0.083	0.32130307	0.07543278356718072	0.31522155040280486	0.2997238	0.8073036	1.0	0.4334957039359111
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	LGALS1	PTPRC	0.67972803	0.646	0.34934324	-0.0025679651852575716	0.011244211113925151	0.2811111	0.81372815	1.0	0.4334957039359111
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	GNAI2	S1PR4	0.66369927	0.067	0.3513376	0.079383085972323	0.3665482995739966	0.30620584	0.81415915	1.0	0.45849907126240186
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	SELPLG	SELL	0.64136857	0.203	0.32387972	0.10499661800426077	0.5621786722235125	0.43118343	0.80792415	0.5538336399999999	0.45849907126240186
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	HLA-C	LILRB1	1.4596441	0.001	0.6768356	0.24620186275086114	0.7065841619100128	0.56372356	0.85876936	0.07204127533585038	0.4604237038963357
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	CD47	SIRPG	0.24723691	0.083	0.06061108	0.1196160662810844	0.4386135507571519	0.5190255	0.6453429	0.3391255454608518	0.4638948850791298
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	SIRPG	CD47	0.24723691	0.083	0.06061108	0.1196160662810844	0.4386135507571519	0.5190255	0.6453429	0.3391255454608518	0.4638948850791298
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	SELPLG	SELL	0.68138266	0.067	0.35153812	0.13624915361317402	0.5126269368088343	0.4680053	0.81420237	0.24024508612070405	0.4844458516847231
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	HMGB1	CXCR4	0.67563194	0.461	0.299085	-0.017724557123263797	-0.05760482471319539	0.19654542	0.8016685	1.0	0.4844458516847231
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	HLA-A	LILRB1	1.356971	0.0	0.6246903	0.2188296064106446	0.6554915932499124	0.5581982	0.85383725	0.08015098846294086	0.49405760547708466
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	GNAI2	CXCR3	0.61790293	0.024	0.26319847	0.13456705877995884	0.6347449171875601	0.41312084	0.79131097	0.532223242153372	0.5113535158099191
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	LTB	CD40	0.80240774	0.323	0.3627865	0.10490461636399984	0.5581328940792067	0.47584495	0.8165729	0.8552550400000002	0.5113535158099191
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-C	CD8A	1.1826818	0.906	0.6241904	0.012220431918761002	0.3360823447519623	0.4362764	0.85378724	1.0	0.5285475170554568
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	GNAI2	S1PR4	0.6709559	0.065	0.36530367	0.08765996889609837	0.3574940768073651	0.31837785	0.81709015	1.0	0.5392395342450312
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	MIF	CD44_CD74	0.6064377	0.017	0.34650117	0.13065412341196195	0.3941854931791672	0.39780074	0.81310827	0.6861639904693431	0.5392395342450312
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-DQB1	CD4	0.6575759	0.0	0.25792757	0.3782257879999434	1.684585833502458	0.9773237	0.7896357	0.0009765625	0.5392395342450312
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-DRB1	CD4	1.3555609	0.0	0.5927784	0.4868398601499581	1.923602498562556	0.89970106	0.8505348	0.0009765625	0.5638585473751867
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	MIF	CD74_CXCR4	0.6273055	0.972	0.37596008	-0.12553794369323495	-0.4013974485338362	0.16454488	0.81922907	1.0	0.5681213775971035
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	VIM	CD44	0.56343293	0.992	0.30688432	-0.10454370736670715	-0.3430112157769549	0.19390723	0.8037071	1.0	0.5681213775971035
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-DRB1	CD4	0.25768277	1.0	0.0660831	-0.24135898328698446	-1.0773742092525942	0.10029893	0.6551711	1.0	0.5815300709477127
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	COPA	CD74	0.6580075	1.0	0.24906476	-0.4032098810568058	-1.7736646145372035	0.11520748	0.78671694	1.0	0.5980165164731776
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	VIM	CD44	0.91874045	0.007	0.3804739	0.10855320463438416	0.3430112157769549	0.24040541	0.8201111	1.0	0.5980165164731776
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	CCL5	CXCR3	0.5630071	0.0	0.23316921	0.22040757645437775	1.7849590959042008	0.61285174	0.7811318	0.015015317882544003	0.628942421480297
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	LTB	CD40	0.8700522	0.06	0.39961836	0.15273044354394372	0.43121815553152215	0.524155	0.82370394	0.4057643790936378	0.628942421480297
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-A	CD8A	1.1248189	0.8	0.5891719	0.03913648398664078	0.3871749134120628	0.44180173	0.85014653	1.0	0.6368041993823776
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	GRN	TNFRSF1B	0.2761792	0.034	0.07358363	0.15886910353002492	0.5435490509267566	0.6048134	0.6672122	0.22159441803419533	0.6578970515807215
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HMGB1	CXCR4	0.65572286	0.552	0.4191425	0.015362679352954212	0.05760482471319539	0.27544188	0.82714075	1.0	0.6609165632255044
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	PKM	CD44	0.5098324	0.011	0.25750628	0.17107439955708065	0.7198780985679564	0.47940594	0.78949994	0.15762480100379395	0.6609165632255044
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-DPA1	CD4	1.3276744	0.0	0.5794001	0.4999925761298774	1.9653247028031626	0.91847956	0.84907806	0.0009765625	0.6743689386416678
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-E	CD8B	1.070821	0.742	0.7734394	0.03419550962942762	0.5621895236137455	0.42177886	0.8666682	1.0	0.6743689386416678
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	LGALS1	PTPRC	0.80937886	0.084	0.43855318	0.096115303124828	0.5069195819569324	0.35289696	0.83035314	1.0	0.6939564123158417
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	CD48	CD2	1.0424635	0.0	0.8867555	0.32585529011703795	1.470151188752277	0.65129733	0.8743715	0.0010978623847509488	0.7126150317859739
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	GNAI2	S1PR4	0.47901016	0.933	0.21957178	-0.08072856200575218	-0.3665482995739966	0.19136626	0.77595216	1.0	0.7280794393583527
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	CD48	CD2	0.69641596	0.624	0.47476634	0.05190306065806599	0.42507445591311044	0.3487027	0.8358685	1.0	0.7280794393583527
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	LGALS1	ITGB1	0.2870112	0.358	0.07912323	0.017866374028881585	0.21503968896286185	0.2680076	0.67522097	1.0	0.7326393209095583
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	VIM	CD44	1.0301203	0.0	0.7368067	0.2405698360606021	0.8923780434577757	0.46555704	0.8638397	0.22024808457157496	0.7515075376012099
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	BTLA	CD79A	1.102688	0.0	0.5655797	0.47007315878741013	2.4608454067782453	0.982661	0.8475247	0.0009765625	0.7515075376012099
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	MIF	CD44_CD74	0.47771594	0.532	0.22791994	0.0035400767377887637	0.1551813345016536	0.26166356	0.7791791	1.0	0.7633031149600795
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	HLA-A	LILRB1	1.1004889	0.862	0.49442872	0.024977070504502666	0.3205427376407295	0.44180173	0.8386332	1.0	0.7633031149600795
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HMGB1	CXCR4	0.51934665	0.98	0.211908	-0.1417126662185761	-0.6213955631033542	0.13925655	0.77284884	1.0	0.7633031149600795
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-DPB1	CD4	1.1602975	0.0	0.49910286	0.4603838390010148	1.9245363287060893	0.9142724	0.8392688	0.0009765625	0.7996449097280652
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	GNAI2	S1PR4	0.4717535	0.937	0.21117726	-0.08900544492952754	-0.3574940768073651	0.18405007	0.7725455	1.0	0.7996449097280652
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	BTLA	CD247	0.2895956	0.0	0.08382133	0.25149138136833354	1.257602031141387	1.0	0.68151337	0.005009436778933804	0.8057742370638651
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	HLA-C	LILRB1	1.1583517	0.931	0.523816	-0.0019389815633771151	0.269450168980629	0.4362764	0.8425018	1.0	0.8310920223881311
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-F	CD8B	0.47084668	0.004	0.22157688	0.1897921638188424	1.2485418679944873	0.59113437	0.7767413	0.028291239999999992	0.8371222942693526
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-E	CD8A	0.99216807	0.893	0.5088919	0.021044732300736377	0.1085672434670677	0.42177886	0.84057456	1.0	0.8371222942693526
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	MIF	CD74_CXCR4	0.9123125	0.029	0.80669874	0.12556421207625054	0.4013974485338362	0.35306445	0.869082	0.976805038450697	0.8717142419856414
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	GNAI2	S1PR1	0.47014862	0.921	0.2093207	-0.07698204602275856	-0.31522155040280486	0.19526237	0.7717687	1.0	0.8757527391909841
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	HLA-F	LILRB1	0.29358694	0.31	0.08462132	0.08038557668375693	0.24774691881416577	0.40886566	0.68254334	1.0	0.8773193275039977
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	MIF	CD74_CXCR4	0.7835908	0.422	0.5306266	-0.001549834597922635	0.16239328985632262	0.23223712	0.84335697	1.0	0.9155537151000026
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	MIF	CD44_CD74	0.49505788	0.456	0.17892705	-0.0013625080142559837	-0.1551813345016536	0.20541725	0.7576577	1.0	0.9155537151000026
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	ADAM28	ITGA4	0.29545432	0.212	0.08679881	0.09407360366569711	0.281385429483728	0.38589844	0.68528944	1.0	0.9472921149048783
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	HMGB1	CXCR4	0.81200814	0.02	0.5915739	0.1393507884482665	0.6213955631033542	0.38875616	0.8504055	0.6986711496527869	0.954443440142056
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-DMB	CD4	0.46175322	0.0	0.1639837	0.30447087297366693	1.3514336445911599	0.94156235	0.74956155	0.0014766808365460754	0.9565426926034508
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	GNAI2	S1PR1	0.45614782	0.942	0.1931245	-0.09295574733466982	-0.40882082597855685	0.18015394	0.76459867	1.0	0.9565426926034508
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	MIF	CD74_CXCR4	0.7560272	0.578	0.571563	0.0015761029809382432	-0.16239328985632262	0.25015357	0.84820336	1.0	0.998737142308372
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	VIM	CD44	0.4520532	1.0	0.15846962	-0.2365603387929251	-0.8923780434577757	0.10013025	0.7463375	1.0	0.998737142308372
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	IL16	CD4	0.362517	0.151	0.11637621	0.1137993856685417	0.2683513119691781	0.47739038	0.7160203	1.0	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	PKM	CD44	0.33529192	0.737	0.09671586	-0.03620652813824454	-0.17051127088713558	0.18005836	0.6968369	1.0	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	HLA-F	LILRB1	0.36786357	0.012	0.12234475	0.16248197300801304	0.7282874120764761	0.59113437	0.72107756	0.05768284517758103	1.0
